Photo;Date and Time;Exp. Time;F/Stop;Exp. Program;Exp. Bias;Metering Mode;Light Source;Flash;Focal Length;Focal Length (35 mm);ISO Speed;Orientation;Dimensions;File Size;Path;Tags
IMG_0069;02/05/2018  12:22:07;1/102;-;-;-;-;-;Flash fired, auto mode;-;-;100;-;2048 x 1536;378 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0069.JPG;placeID: 111
IMG_0068;02/05/2018  12:22:07;1/102;-;-;-;-;-;Flash fired, auto mode;-;-;100;-;2048 x 1536;378 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0068.JPG;placeID: 111
IMG_0070;02/05/2018  12:22:08;1/102;-;-;-;-;-;Flash fired, auto mode;-;-;100;-;2048 x 1536;384 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0070.JPG;placeID: 111
IMG_0071;02/05/2018  12:22:20;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;635 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0071.JPG;placeID: 111
IMG_0073;02/05/2018  12:22:23;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;520 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0073.JPG;placeID: 111
IMG_0072;02/05/2018  12:22:23;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;505 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0072.JPG;placeID: 111
IMG_0074;02/05/2018  12:22:24;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;517 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0074.JPG;placeID: 111
IMG_0075;02/05/2018  12:22:25;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;600 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0075.JPG;placeID: 111
IMG_0076;02/05/2018  12:22:26;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;558 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0076.JPG;placeID: 111
IMG_0077;02/05/2018  12:22:27;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;557 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0077.JPG;placeID: 111
