Photo;Date and Time;Exp. Time;F/Stop;Exp. Program;Exp. Bias;Metering Mode;Light Source;Flash;Focal Length;Focal Length (35 mm);ISO Speed;Orientation;Dimensions;File Size;Path;Tags
IMG_0064;03/05/2018  17:16:34;1/169;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;181 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0064.JPG;placeID: 82
IMG_0065;03/05/2018  17:16:35;1/120;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;138 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0065.JPG;placeID: 82
IMG_0066;03/05/2018  17:16:36;1/127;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;144 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0066.JPG;placeID: 82
IMG_0067;03/05/2018  17:16:37;1/127;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;145 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0067.JPG;placeID: 82
IMG_0069;03/05/2018  17:16:38;1/127;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;140 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0069.JPG;placeID: 82
IMG_0068;03/05/2018  17:16:38;1/127;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;142 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0068.JPG;placeID: 82
IMG_0070;03/05/2018  17:16:39;1/152;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;141 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0070.JPG;placeID: 82
IMG_0071;03/05/2018  17:16:41;1/152;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;142 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0071.JPG;placeID: 82
IMG_0072;03/05/2018  17:16:42;1/152;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;146 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0072.JPG;placeID: 82
IMG_0073;03/05/2018  17:16:43;1/211;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;359 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0073.JPG;placeID: 82
